Id;Name;Price;Liter price
21925;Happy Cat White Mosel Riesling 10% 50cl;8.50 €;17.00 €/L
21941;Gato Negro Sauvignon Blanc 12% 75cl;5.50 €;7.33 €/L
21948;Royal Oporto Ruby Porto 19% 75cl;10.99 €;14.65 €/L
21956;Harveys Bristol Cream Sherry 17;13.99 €;13.99 €/L
21059,Saaremaa Vodka 40% 10x50cl PET,85.00 €,17.00 €/L
21057,Viru Valge 40% 10x50cl  PET,80.99 €,16.20 €/L
21058,Saaremaa Vodka 80% 10x50cl PET,158.00 €,31.60 €/L
21060,Captain Morgan Dark 40% 50cl,14.99 €,29.98 €/L
21067,Finlandia 40% 50cl,11.99 €,23.98 €/L
21065,Finlandia Cranberry 37,5% 50cl,11.99 €,23.98 €/L
21066,Finlandia Lime 37,5% 50cl,11.99 €,23.98 €/L
21070,Koskenkorva 40% 100cl,19.99 €,19.99 €/L
21100,Ballantines Finest 40% 50cl PET,10.99 €,21.98 €/L
21102,Ballantines Finest 40% 100cl,21.99 €,21.99 €/L
21114,Chivas Regal 12YO 40% 50cl BOX,20.99 €,41.98 €/L
21129,Johnnie Walker Black Label 40% 50cl,27.99 €,55.98 €/L
21123,Grants 40% 50cl PET,12.50 €,25.00 €/L
21138,Johnnie Walker Red Label 40% 100cl,21.99 €,21.99 €/L
21144,Jack Daniels Black 40% 100cl,32.99 €,32.99 €/L
21153,Jim Beam White Label 40% 300cl,112.00 €,37.33 €/L
21177,Absolut Peppar 40% 50cl,15.50 €,31.00 €/L
21181,Smirnoff Red 37,5% 50cl,11.50 €,23.00 €/L
21251,Hennessy VS 40% 70cl,35.99 €,51.41 €/L
21284,St. Remy Authentic VSOP 36% 100cl,23.99 €,23.99 €/L
21291,Amaretto Disaronno 28% 100cl,24.50 €,24.50 €/L
21290,Amaretto Disaronno 28% 50cl,15.50 €,31.00 €/L
21323,Vana Tallinn 40% 4x50cl PET,40.99 €,20.50 €/L
21329,Bacardi Carta Negra 40% 50cl,Product Code: ,15.99 €
21332,Bacardi Carta Blanca 37,5% 50cl,Product Code: ,13.50 €
21342,Sinebrychoff Long Drink Grapefruit 5,5% 24x33cl,Product Code: ,18.99 €
21352,Martini Bianco 15% 100cl,Product Code: ,9.99 €
21356,Martini Extra Dry 15% 100cl,Product Code: ,9.99 €
21357,Martini Rosato 15% 100cl,Product Code: ,9.99 €
21360,Martini Rosso 15% 100cl,Product Code: ,9.99 €
21376,Santa Helena Varietal Chardonnay 13% 300cl BIB,Product Code: ,16.99 €
21382,Dreamer Late Harvest Cabernet Sauvignon Rose 11,5% 75cl,Product Code: ,4.99 €
21396,Moet & Chandon Brut Imperial Champagne 12% 75cl,36.99 €,49.32 €/L
21400,Absolut 40% 50cl,10.50 €,21.00 €/L
21405,Stolichnaya Premium Vodka  40% 50cl,10.50 €,21.00 €/L
21411,Esbjaerg  40% 100cl,17.99 €,17.99 €/L
21435,Koskenkorva Salmiakki 32% 50cl PET,9.99 €,19.98 €/L
21438,Tapio  39% 10x50cl PET,81.00 €,16.20 €/L
21447,Frontera Cabernet Sauvignon 12% 75cl,Product Code: ,5.50 €
21449,Gato Negro Cabernet Sauvignon 13% 75cl,Product Code: ,5.50 €
21451,Gato Negro Merlot 13% 75cl,Product Code: ,5.50 €
21456,Hartwall Original Long Drink 5,5% 24x33cl,Product Code: ,23.99 €
21458,Gato Negro Cabernet Sauvignon 13% 300cl BIB,Product Code: ,16.99 €
21465,Remy Martin XO Excellence 40% 70cl,163.00 €,232.86 €/L
21471,Dooleys Original Toffee & Vodka 17% 100cl,21.99 €,21.99 €/L
21474,Pisang Ambon 20% 100cl,19.99 €,19.99 €/L
21479,Dourthe Le Cardinal Merlot- Cabernet Sauvignon 13% 75cl,Product Code: ,7.50 €
21482,Primavera Rose 11% 75cl,Product Code: ,5.50 €
21486,Rizla Red Sigaretipaber 100 tk,Product Code: ,17.99 €
21491,Cinzano Bianco 15% 100cl,9.99 €,9.99 €/L
21501,Koskenkorva 38% 10X50cl PET,97.99 €,19.60 €/L
21511,G.H. Mumm Cordon Rouge Brut Champagne 12% 75cl,29.99 €,39.99 €/L
21512,Santa Helena Varietal Merlot 13% 300cl BIB,Product Code: ,16.99 €
21059,Saaremaa Vodka 40% 10x50cl PET,85.00 €,17.00 €/L
21058,Saaremaa Vodka 80% 10x50cl PET,158.00 €,31.60 €/L
21057,Viru Valge 40% 10x50cl  PET,80.99 €,16.20 €/L
21067,Finlandia 40% 50cl,11.99 €,23.98 €/L
21060,Captain Morgan Dark 40% 50cl,14.99 €,29.98 €/L
21065,Finlandia Cranberry 37,5% 50cl,11.99 €,23.98 €/L
21066,Finlandia Lime 37,5% 50cl,11.99 €,23.98 €/L
21070,Koskenkorva 40% 100cl,19.99 €,19.99 €/L
21100,Ballantines Finest 40% 50cl PET,10.99 €,21.98 €/L
21102,Ballantines Finest 40% 100cl,21.99 €,21.99 €/L
21114,Chivas Regal 12YO 40% 50cl BOX,20.99 €,41.98 €/L
21123,Grants 40% 50cl PET,12.50 €,25.00 €/L
21129,Johnnie Walker Black Label 40% 50cl,27.99 €,55.98 €/L
21138,Johnnie Walker Red Label 40% 100cl,21.99 €,21.99 €/L
21144,Jack Daniels Black 40% 100cl,32.99 €,32.99 €/L
21153,Jim Beam White Label 40% 300cl,112.00 €,37.33 €/L
21177,Absolut Peppar 40% 50cl,15.50 €,31.00 €/L
21181,Smirnoff Red 37,5% 50cl,11.50 €,23.00 €/L
