Numero;Nimi;Pullokoko;Hinta;Litrahinta;Tyyppi;Luonnehdinta;Pakkaustyyppi;ProsAlkohol;EurPerLAlkohol
27257;Hennessy VS 40% 70cl +2 glasses GIFTBOX;-;31,99;45,70;-;-;-;40;114,25
27259;B&G; Chardonnay Reserve 13% 75cl;-;5,49;7,32;-;-;-;13;56,30769230769231
27253;Myagkov vodka 40% 50cl;-;6,99;13,98;-;-;-;40;34,95
27264;Bach Extrisimo Semi- Seco 11.5% 75cl;-;4,79;6,39;-;-;-;11.5;55,56521739130435
27260;B&G; Merlot Reserve 11.5% 75cl;-;5,29;7,05;-;-;-;11.5;61,30434782608695
27263;Bach Extrisimo Brut 11.5% 75cl;-;4,79;6,39;-;-;-;11.5;55,56521739130435
27262;B&G; Sauvignon Blanc Reserve 11.5% 75cl;-;5,49;7,32;-;-;-;11.5;63,65217391304348
27273;Henri Mounier Cognac VSOP 70cl 40%;-;20,99;29,99;-;-;-;40;74,975
27270;J.P. Chenet ICE 10,5% 150cl;-;9,99;6,66;-;-;-;10,5;63,42857142857143
27261;B&G; Pinot Noir Reserve 11.5% 75cl;-;5,99;7,99;-;-;-;11.5;69,47826086956522
27265;Bulleit Bourbon 40% 70cl;-;19,99;28,56;-;-;-;40;71,4
27266;Glenmorangie Original 100cl 40% BOX;-;39,99;39,99;-;-;-;40;99,975
27268;Plakuchaya Iva 40% 50cl;-;5,49;10,98;-;-;-;40;27,45
27269;J.P. Chenet ICE Rose  11% 150cl;-;9,99;6,66;-;-;-;11;60,54545454545455
27271;Hartwall Strong 7,5% 24x33cl;-;23,99;3,03;-;-;-;7,5;40,4
27275;Grunberger 4,7% 24x33cl;-;9,99;1,26;-;-;-;4,7;26,80851063829787
27277;Old Tbilisi Alazani Red 12% 75cl;-;5,99;7,99;-;-;-;12;66,58333333333333
27276;Pravda Original 40% 100cl;-;15,99;15,99;-;-;-;40;39,975
27281;Staburags Ziemas 5,8% 50cl;-;0,79;1,58;-;-;-;5,8;27,24137931034483
27278;Old Tbilisi Alazani white 11,5% 75cl;-;4,99;6,65;-;-;-;11,5;57,82608695652174
27282;Nemiroff Honey Pepper 40% 100cl;-;13,15;13,15;-;-;-;40;32,875
27279;Bonaparte 38% 100cl;-;11,99;11,99;-;-;-;38;31,55263157894737
27280;Alita 38% 50cl;-;7,99;15,98;-;-;-;38;42,05263157894737
27284;Aramis VSOP 50cl 30% PET;-;6,19;12,38;-;-;-;30;41,266666666666666
27290;Baikal 40% 50cl;-;6,99;13,98;-;-;-;40;34,95
27289;Holland Crown Premium Lager 4.8% 50cl;-;0,65;1,30;-;-;-;4.8;27,083333333333336
27291;Baikal 40% 70cl;-;8,99;12,84;-;-;-;40;32,1
27292;King Robert II Finest Scotch 40% 100cl;-;12,99;12,99;-;-;-;40;32,475
27293;Shotka Darkberry  40% 70cl;-;7,99;11,41;-;-;-;40;28,525
27294;Sobieski Superior 40% 100cl;-;10,99;10,99;-;-;-;40;27,475
27295;Tres Ochos Gold 38% 70cl;-;11,49;16,41;-;-;-;38;43,18421052631579
27297;Wilmore 37.5% 70cl;-;11,99;17,13;-;-;-;37.5;45,68
27299;Exclusive Kosher vodka 40% 100cl;-;14,99;14,99;-;-;-;40;37,475
27296;El Matador Blanco 11% 100cl;-;2,99;2,99;-;-;-;11;27,181818181818183
27298;Chacha 40% 70cl;-;14,99;21,41;-;-;-;40;53,525
27300;The Nines 999 Citrus 35% 50cl;-;7,39;14,78;-;-;-;35;42,22857142857143
27303;Speczakaz 40% 50cl;-;5,39;10,78;-;-;-;40;26,95
27304;Expert Club Bordeaux Red 12% 75cl;-;5,59;7,45;-;-;-;12;62,083333333333336
27301;El Matador Tinto 11% 100cl;-;2,99;2,99;-;-;-;11;27,181818181818183
27310;Dalmore  CIGAR 44% 70cl;-;91,99;131,41;-;-;-;44;298,65909090909093
27309;Bloom gin 40% 70cl;-;27,39;39,13;-;-;-;40;97,82500000000002
27312;Dalmore 15 YO 40% 70cl;-;66,89;95,56;-;-;-;40;238,9
27302;Admiral Nelson Spiced 35% 100cl;-;13,99;13,99;-;-;-;35;39,97142857142857
27313;Dalmore 18 YO 43% 70cl;-;94,99;135,70;-;-;-;43;315,5813953488372
27306;Nemiroff Wheat 40% 50cl;-;6,99;13,98;-;-;-;40;34,95
27311;Dalmore 12 YO Single Malt 40% 70cl;-;43,69;62,41;-;-;-;40;156,025
27305;Myagkov vodka 40% 70cl;-;9,69;13,84;-;-;-;40;34,6
27307;Alazani Valley Red Semi-sw. 11.5% 75cl;-;5,39;7,19;-;-;-;11.5;62,52173913043478
27317;H by Hine VSOP 40% 70cl;-;30,99;44,27;-;-;-;40;110,675
27315;Greenall's London Dry Gin 40% 70cl;-;12,99;18,56;-;-;-;40;46,39999999999999
27308;Alazani Valley White Semi-sweet 11% 75cl;-;5,39;7,19;-;-;-;11;65,36363636363636
27324;Muižas alus 4,6% 100cl;-;0,95;0,95;-;-;-;4,6;20,65217391304348
27319;High Commissioner Whisky 40% 150cl;-;23,69;15,79;-;-;-;40;39,475
27321;Hine VSOP Rare  40% 70cl;-;40,69;58,13;-;-;-;40;145,325
27320;Hine Rare VSOP GB 40% 100cl;-;52,59;52,59;-;-;-;40;131,475
27325;Muižas alus 5,8% 100cl;-;1,19;1,19;-;-;-;5,8;20,517241379310345
27326;Inycon Syrah Appassimento 14% 300cl BIB;-;16,59;5,53;-;-;-;14;39,5
27323;Old Monk 7YO 42,8% 70cl;-;13,99;19,99;-;-;-;42,8;46,705607476635514
